generation,genome,fitness
4,0.204582,1.24963
4,0.211319,1.24337
4,0.211319,1.24337
4,0.211319,1.24337
4,0.204897,1.24946
4,-0.514593,-0.873898
4,0.204897,1.24946
4,0.250356,1.10448
4,0.850124,0.203949
4,0.211319,1.24337
4,0.204897,1.24946
4,0.117412,0.809536
4,0.204897,1.24946
4,0.204897,1.24946
4,0.891221,0.0345328
4,0.204897,1.24946
4,-0.0909358,-2.48479
4,0.211319,1.24337
4,0.204897,1.24946
4,0.204897,1.24946
4,-0.1164,-2.78533
4,0.204897,1.24946
4,-0.421602,-1.35439
5,0.0211611,-0.620805
5,0.793273,0.296376
5,-0.562112,-0.904288
5,0.204897,1.24946
5,0.420303,-0.46012
5,0.204897,1.24946
5,0.199211,1.25061
5,-0.303677,-2.59817
5,0.204897,1.24946
5,0.204897,1.24946
5,0.204897,1.24946
5,0.204582,1.24963
5,0.204897,1.24946
5,0.204582,1.24963
5,0.204582,1.24963
5,0.204897,1.24946
5,0.204582,1.24963
5,0.204582,1.24963
5,0.204897,1.24946
5,0.204582,1.24963
5,0.204897,1.24946
5,0.204897,1.24946
5,0.204582,1.24963
5,0.204582,1.24963
5,0.211319,1.24337
5,0.204582,1.24963
5,0.204897,1.24946
5,0.199211,1.25061
5,0.204582,1.24963
5,-0.57162,-0.929759
5,0.204897,1.24946
5,-0.144029,-3.02579
5,0.204897,1.24946
5,0.204897,1.24946
5,0.204897,1.24946
5,0.204582,1.24963
5,0.204897,1.24946
5,1.06503,-0.471025
5,1.06578,-0.469207
5,0.204582,1.24963
5,0.204582,1.24963
5,0.204897,1.24946
5,0.347426,0.244355
5,0.204582,1.24963
5,0.204897,1.24946
5,0.204897,1.24946
5,0.211319,1.24337
5,0.204897,1.24946
5,0.162279,1.15764
5,0.204897,1.24946
6,0.204582,1.24963
6,0.204897,1.24946
6,0.204897,1.24946
6,0.204582,1.24963
6,0.204897,1.24946
6,-0.509846,-0.880794
6,0.204897,1.24946
6,0.204897,1.24946
6,0.204582,1.24963
6,0.204582,1.24963
6,0.204582,1.24963
6,0.204897,1.24946
6,0.204897,1.24946
6,0.204582,1.24963
6,0.204582,1.24963
6,0.204897,1.24946
6,0.204897,1.24946
6,0.204582,1.24963
6,-0.371063,-1.86167
6,-0.393815,-1.61954
6,0.204897,1.24946
6,0.357007,0.14367
6,0.717423,0.0970246
6,0.204582,1.24963
6,0.204582,1.24963
6,0.592962,-0.652959
6,0.204582,1.24963
6,0.204582,1.24963
6,0.204582,1.24963
6,0.847828,0.211314
6,0.204582,1.24963
6,-0.43728,-1.22535
6,0.204582,1.24963
6,0.204897,1.24946
6,0.204582,1.24963
6,0.204582,1.24963
6,-0.307145,-2.56288
6,-0.759915,-1.70297
6,0.204582,1.24963
6,0.204582,1.24963
6,0.204582,1.24963
6,0.204582,1.24963
6,0.204582,1.24963
6,0.199211,1.25061
6,0.199211,1.25061
6,0.204582,1.24963
6,0.204582,1.24963
6,0.204582,1.24963
6,0.204897,1.24946
6,0.204582,1.24963
7,0.204582,1.24963
7,0.204582,1.24963
7,0.204582,1.24963
7,0.356965,0.144103
7,0.204582,1.24963
7,0.204582,1.24963
7,0.204582,1.24963
7,0.204582,1.24963
7,0.204582,1.24963
7,0.199211,1.25061
7,0.204582,1.24963
7,0.204582,1.24963
7,-0.0959197,-2.54907
