update,mean_coopval,count,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,0.5,962,0,0,0,0,962,0,0,0,0,0
1,0.499976,1078,0,0,0,0,1078,0,0,0,0,0
2,0.499956,1264,0,0,0,0,1264,0,0,0,0,0
3,0.499921,1515,0,0,0,0,1515,0,0,0,0,0
4,0.499942,1816,0,0,0,0,1816,0,0,0,0,0
5,0.499971,2127,0,0,0,0,2127,0,0,0,0,0
6,0.499977,2499,0,0,0,0,2499,0,0,0,0,0
7,0.499979,2887,0,0,0,0,2887,0,0,0,0,0
8,0.499991,3271,0,0,0,0,3271,0,0,0,0,0
9,0.50002,3704,0,0,0,0,3704,0,0,0,0,0
10,0.499991,4136,0,0,0,0,4136,0,0,0,0,0
11,0.499949,4537,0,0,0,0,4537,0,0,0,0,0
12,0.499954,4956,0,0,0,0,4956,0,0,0,0,0
13,0.499925,5377,0,0,0,0,5377,0,0,0,0,0
14,0.499917,5825,0,0,0,0,5825,0,0,0,0,0
15,0.499917,6229,0,0,0,0,6229,0,0,0,0,0
16,0.49994,6595,0,0,0,0,6595,0,0,0,0,0
17,0.499953,6975,0,0,0,0,6975,0,0,0,0,0
18,0.500011,7334,0,0,0,0,7334,0,0,0,0,0
19,0.500021,7673,0,0,0,0,7673,0,0,0,0,0
20,0.499991,7987,0,0,0,0,7987,0,0,0,0,0
21,0.499981,8262,0,0,0,0,8262,0,0,0,0,0
22,0.50001,8512,0,0,0,0,8512,0,0,0,0,0
23,0.499937,8734,0,0,0,0,8734,0,0,0,0,0
24,0.499903,8951,0,0,0,0,8951,0,0,0,0,0
25,0.499888,9117,0,0,0,0,9117,0,0,0,0,0
26,0.499819,9260,0,0,0,0,9260,0,0,0,0,0
27,0.499824,9396,0,0,0,0,9396,0,0,0,0,0
28,0.499814,9497,0,0,0,0,9497,0,0,0,0,0
29,0.499859,9593,0,0,0,0,9593,0,0,0,0,0
30,0.499864,9666,0,0,0,0,9666,0,0,0,0,0
31,0.499846,9723,0,0,0,0,9723,0,0,0,0,0
32,0.499774,9781,0,0,0,0,9781,0,0,0,0,0
33,0.499809,9825,0,0,0,0,9825,0,0,0,0,0
34,0.499791,9855,0,0,0,0,9855,0,0,0,0,0
35,0.499807,9885,0,0,0,0,9885,0,0,0,0,0
36,0.499789,9903,0,0,0,0,9903,0,0,0,0,0
37,0.499761,9920,0,0,0,0,9920,0,0,0,0,0
38,0.499759,9944,0,0,0,0,9944,0,0,0,0,0
39,0.499795,9951,0,0,0,0,9951,0,0,0,0,0
40,0.499828,9967,0,0,0,0,9967,0,0,0,0,0
41,0.499871,9976,0,0,0,0,9976,0,0,0,0,0
42,0.499899,9983,0,0,0,0,9983,0,0,0,0,0
43,0.499944,9987,0,0,0,0,9987,0,0,0,0,0
44,0.499921,9991,0,0,0,0,9991,0,0,0,0,0
45,0.499928,9994,0,0,0,0,9994,0,0,0,0,0
46,0.499941,9996,0,0,0,0,9996,0,0,0,0,0
47,0.499908,9996,0,0,0,0,9996,0,0,0,0,0
48,0.499976,9998,0,0,0,0,9998,0,0,0,0,0
49,0.499985,10000,0,0,0,0,10000,0,0,0,0,0
50,0.499954,10000,0,0,0,0,10000,0,0,0,0,0
51,0.500018,10000,0,0,0,0,10000,0,0,0,0,0
52,0.500042,10000,0,0,0,0,10000,0,0,0,0,0
53,0.500092,10000,0,0,0,0,10000,0,0,0,0,0
54,0.500084,10000,0,0,0,0,10000,0,0,0,0,0
55,0.500105,10000,0,0,0,0,10000,0,0,0,0,0
56,0.50006,10000,0,0,0,0,10000,0,0,0,0,0
57,0.5,10000,0,0,0,0,10000,0,0,0,0,0
58,0.49998,10000,0,0,0,0,10000,0,0,0,0,0
59,0.499999,10000,0,0,0,0,10000,0,0,0,0,0
60,0.49992,10000,0,0,0,0,10000,0,0,0,0,0
61,0.499945,10000,0,0,0,0,10000,0,0,0,0,0
62,0.499895,10000,0,0,0,0,10000,0,0,0,0,0
63,0.499801,10000,0,0,0,0,10000,0,0,0,0,0
64,0.49991,10000,0,0,0,0,10000,0,0,0,0,0
65,0.499903,10000,0,0,0,0,10000,0,0,0,0,0
66,0.500026,10000,0,0,0,0,10000,0,0,0,0,0
67,0.500037,10000,0,0,0,0,10000,0,0,0,0,0
68,0.499988,10000,0,0,0,0,10000,0,0,0,0,0
69,0.500033,10000,0,0,0,0,10000,0,0,0,0,0
70,0.500183,10000,0,0,0,0,10000,0,0,0,0,0
71,0.500172,10000,0,0,0,0,10000,0,0,0,0,0
72,0.500168,10000,0,0,0,0,10000,0,0,0,0,0
73,0.500193,10000,0,0,0,0,10000,0,0,0,0,0
74,0.500233,10000,0,0,0,0,10000,0,0,0,0,0
75,0.500203,10000,0,0,0,0,10000,0,0,0,0,0
76,0.500251,10000,0,0,0,0,10000,0,0,0,0,0
77,0.500258,10000,0,0,0,0,10000,0,0,0,0,0
78,0.500289,10000,0,0,0,0,10000,0,0,0,0,0
79,0.50035,10000,0,0,0,0,10000,0,0,0,0,0
80,0.500416,10000,0,0,0,0,10000,0,0,0,0,0
81,0.500326,10000,0,0,0,0,10000,0,0,0,0,0
82,0.500309,10000,0,0,0,0,10000,0,0,0,0,0
83,0.500233,10000,0,0,0,0,10000,0,0,0,0,0
84,0.500194,10000,0,0,0,0,10000,0,0,0,0,0
85,0.500205,10000,0,0,0,0,10000,0,0,0,0,0
86,0.500278,10000,0,0,0,0,10000,0,0,0,0,0
87,0.500317,10000,0,0,0,0,10000,0,0,0,0,0
88,0.500289,10000,0,0,0,0,10000,0,0,0,0,0
89,0.500405,10000,0,0,0,0,10000,0,0,0,0,0
90,0.500383,10000,0,0,0,0,10000,0,0,0,0,0
91,0.500392,10000,0,0,0,0,10000,0,0,0,0,0
92,0.500402,10000,0,0,0,0,10000,0,0,0,0,0
93,0.500391,10000,0,0,0,0,10000,0,0,0,0,0
94,0.500234,10000,0,0,0,0,10000,0,0,0,0,0
95,0.500225,10000,0,0,0,0,10000,0,0,0,0,0
96,0.500156,10000,0,0,0,0,10000,0,0,0,0,0
97,0.500133,10000,0,0,0,0,10000,0,0,0,0,0
98,0.500162,10000,0,0,0,0,10000,0,0,0,0,0
99,0.500093,10000,0,0,0,0,10000,0,0,0,0,0
100,0.500052,10000,0,0,0,0,10000,0,0,0,0,0
101,0.500137,10000,0,0,0,0,10000,0,0,0,0,0
102,0.500032,10000,0,0,0,0,10000,0,0,0,0,0
103,0.500014,10000,0,0,0,0,10000,0,0,0,0,0
104,0.500092,10000,0,0,0,0,10000,0,0,0,0,0
105,0.500181,10000,0,0,0,0,10000,0,0,0,0,0
106,0.500084,10000,0,0,0,0,10000,0,0,0,0,0
107,0.50006,10000,0,0,0,0,10000,0,0,0,0,0
108,0.500147,10000,0,0,0,0,10000,0,0,0,0,0
109,0.500186,10000,0,0,0,0,10000,0,0,0,0,0
110,0.500182,10000,0,0,0,0,10000,0,0,0,0,0
111,0.500126,10000,0,0,0,0,10000,0,0,0,0,0
112,0.500035,10000,0,0,0,0,10000,0,0,0,0,0
113,0.500079,10000,0,0,0,0,10000,0,0,0,0,0
114,0.500048,10000,0,0,0,0,10000,0,0,0,0,0
115,0.500047,10000,0,0,0,0,10000,0,0,0,0,0
116,0.500117,10000,0,0,0,0,10000,0,0,0,0,0
117,0.500052,10000,0,0,0,0,10000,0,0,0,0,0
118,0.500071,10000,0,0,0,0,10000,0,0,0,0,0
119,0.500127,10000,0,0,0,0,10000,0,0,0,0,0
120,0.500092,10000,0,0,0,0,10000,0,0,0,0,0
121,0.500095,10000,0,0,0,0,10000,0,0,0,0,0
122,0.500157,10000,0,0,0,0,10000,0,0,0,0,0
123,0.500155,10000,0,0,0,0,10000,0,0,0,0,0
124,0.500261,10000,0,0,0,0,10000,0,0,0,0,0
125,0.500228,10000,0,0,0,0,10000,0,0,0,0,0
126,0.500235,10000,0,0,0,0,10000,0,0,0,0,0
127,0.500331,10000,0,0,0,0,10000,0,0,0,0,0
128,0.500427,10000,0,0,0,0,10000,0,0,0,0,0
129,0.500398,10000,0,0,0,0,10000,0,0,0,0,0
130,0.500392,10000,0,0,0,0,10000,0,0,0,0,0
131,0.500372,10000,0,0,0,0,10000,0,0,0,0,0
132,0.500398,10000,0,0,0,0,10000,0,0,0,0,0
133,0.500444,10000,0,0,0,0,10000,0,0,0,0,0
134,0.5005,10000,0,0,0,0,10000,0,0,0,0,0
135,0.500515,10000,0,0,0,0,10000,0,0,0,0,0
136,0.500434,10000,0,0,0,0,10000,0,0,0,0,0
137,0.500439,10000,0,0,0,0,10000,0,0,0,0,0
138,0.500316,10000,0,0,0,0,10000,0,0,0,0,0
139,0.500399,10000,0,0,0,0,9999,1,0,0,0,0
140,0.500371,10000,0,0,0,0,9998,2,0,0,0,0
141,0.500271,10000,0,0,0,0,9997,3,0,0,0,0
142,0.500333,10000,0,0,0,0,9996,4,0,0,0,0
143,0.500399,10000,0,0,0,0,9995,5,0,0,0,0
144,0.500259,10000,0,0,0,0,9997,3,0,0,0,0
145,0.50025,10000,0,0,0,0,9998,2,0,0,0,0
146,0.500297,10000,0,0,0,0,9997,3,0,0,0,0
147,0.500244,10000,0,0,0,0,9997,3,0,0,0,0
148,0.500187,10000,0,0,0,0,9997,3,0,0,0,0
149,0.50013,10000,0,0,0,0,9999,1,0,0,0,0
150,0.500096,10000,0,0,0,0,9999,1,0,0,0,0
151,0.500203,10000,0,0,0,0,9999,1,0,0,0,0
152,0.500248,10000,0,0,0,0,9999,1,0,0,0,0
153,0.500207,10000,0,0,0,0,10000,0,0,0,0,0
154,0.500268,10000,0,0,0,0,10000,0,0,0,0,0
155,0.500315,10000,0,0,0,0,10000,0,0,0,0,0
156,0.500269,10000,0,0,0,0,10000,0,0,0,0,0
157,0.500346,10000,0,0,0,0,10000,0,0,0,0,0
158,0.500226,10000,0,0,0,0,10000,0,0,0,0,0
159,0.500188,10000,0,0,0,0,10000,0,0,0,0,0
160,0.500133,10000,0,0,0,0,10000,0,0,0,0,0
161,0.500129,10000,0,0,0,0,10000,0,0,0,0,0
162,0.500216,10000,0,0,0,0,10000,0,0,0,0,0
163,0.500254,10000,0,0,0,0,10000,0,0,0,0,0
164,0.500204,10000,0,0,0,0,10000,0,0,0,0,0
165,0.500065,10000,0,0,0,0,10000,0,0,0,0,0
166,0.500036,10000,0,0,0,0,10000,0,0,0,0,0
167,0.50004,10000,0,0,0,0,10000,0,0,0,0,0
168,0.500089,10000,0,0,0,0,10000,0,0,0,0,0
169,0.500048,10000,0,0,0,0,10000,0,0,0,0,0
170,0.500203,10000,0,0,0,0,10000,0,0,0,0,0
171,0.500144,10000,0,0,0,0,10000,0,0,0,0,0
172,0.500036,10000,0,0,0,0,10000,0,0,0,0,0
173,0.500032,10000,0,0,0,0,10000,0,0,0,0,0
174,0.500054,10000,0,0,0,0,10000,0,0,0,0,0
