update,mean_coopval,count,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,0.5,962,0,0,0,0,962,0,0,0,0,0
1,0.499998,1047,0,0,0,0,1047,0,0,0,0,0
2,0.499988,1203,0,0,0,0,1203,0,0,0,0,0
3,0.499976,1397,0,0,0,0,1397,0,0,0,0,0
4,0.499985,1629,0,0,0,0,1629,0,0,0,0,0
5,0.499995,1875,0,0,0,0,1875,0,0,0,0,0
6,0.500004,2160,0,0,0,0,2160,0,0,0,0,0
7,0.499991,2439,0,0,0,0,2439,0,0,0,0,0
8,0.49995,2708,0,0,0,0,2708,0,0,0,0,0
9,0.499957,3008,0,0,0,0,3008,0,0,0,0,0
10,0.49997,3303,0,0,0,0,3303,0,0,0,0,0
11,0.499996,3648,0,0,0,0,3648,0,0,0,0,0
12,0.499976,4003,0,0,0,0,4003,0,0,0,0,0
13,0.500012,4386,0,0,0,0,4386,0,0,0,0,0
14,0.500048,4748,0,0,0,0,4748,0,0,0,0,0
15,0.500073,5088,0,0,0,0,5088,0,0,0,0,0
16,0.500062,5424,0,0,0,0,5424,0,0,0,0,0
17,0.50005,5758,0,0,0,0,5758,0,0,0,0,0
18,0.500059,6116,0,0,0,0,6116,0,0,0,0,0
19,0.500053,6442,0,0,0,0,6442,0,0,0,0,0
20,0.500036,6775,0,0,0,0,6775,0,0,0,0,0
21,0.50005,7083,0,0,0,0,7083,0,0,0,0,0
22,0.499996,7372,0,0,0,0,7372,0,0,0,0,0
23,0.500016,7662,0,0,0,0,7662,0,0,0,0,0
24,0.500006,7926,0,0,0,0,7926,0,0,0,0,0
25,0.500008,8165,0,0,0,0,8165,0,0,0,0,0
26,0.50001,8400,0,0,0,0,8400,0,0,0,0,0
27,0.500049,8600,0,0,0,0,8600,0,0,0,0,0
28,0.500005,8790,0,0,0,0,8790,0,0,0,0,0
29,0.500014,8949,0,0,0,0,8949,0,0,0,0,0
30,0.499972,9104,0,0,0,0,9104,0,0,0,0,0
31,0.499985,9238,0,0,0,0,9238,0,0,0,0,0
32,0.499988,9360,0,0,0,0,9360,0,0,0,0,0
33,0.499988,9464,0,0,0,0,9464,0,0,0,0,0
34,0.499945,9545,0,0,0,0,9545,0,0,0,0,0
35,0.499952,9625,0,0,0,0,9625,0,0,0,0,0
36,0.499966,9699,0,0,0,0,9699,0,0,0,0,0
37,0.499925,9739,0,0,0,0,9739,0,0,0,0,0
38,0.499977,9796,0,0,0,0,9796,0,0,0,0,0
39,0.499983,9832,0,0,0,0,9832,0,0,0,0,0
40,0.499978,9861,0,0,0,0,9861,0,0,0,0,0
41,0.499986,9885,0,0,0,0,9885,0,0,0,0,0
42,0.499935,9911,0,0,0,0,9911,0,0,0,0,0
43,0.499993,9925,0,0,0,0,9925,0,0,0,0,0
44,0.500046,9942,0,0,0,0,9942,0,0,0,0,0
45,0.500046,9953,0,0,0,0,9953,0,0,0,0,0
46,0.500066,9963,0,0,0,0,9963,0,0,0,0,0
47,0.500019,9970,0,0,0,0,9970,0,0,0,0,0
48,0.500063,9976,0,0,0,0,9976,0,0,0,0,0
49,0.500059,9983,0,0,0,0,9983,0,0,0,0,0
50,0.500113,9987,0,0,0,0,9987,0,0,0,0,0
51,0.50012,9990,0,0,0,0,9990,0,0,0,0,0
52,0.500151,9990,0,0,0,0,9990,0,0,0,0,0
53,0.500138,9992,0,0,0,0,9992,0,0,0,0,0
54,0.500189,9994,0,0,0,0,9994,0,0,0,0,0
55,0.500213,9994,0,0,0,0,9994,0,0,0,0,0
56,0.50015,9995,0,0,0,0,9995,0,0,0,0,0
57,0.500183,9996,0,0,0,0,9996,0,0,0,0,0
58,0.500176,9997,0,0,0,0,9997,0,0,0,0,0
59,0.500136,9998,0,0,0,0,9998,0,0,0,0,0
60,0.500138,9998,0,0,0,0,9998,0,0,0,0,0
61,0.500206,9999,0,0,0,0,9999,0,0,0,0,0
62,0.500264,9999,0,0,0,0,9999,0,0,0,0,0
63,0.500243,9999,0,0,0,0,9999,0,0,0,0,0
64,0.500237,9999,0,0,0,0,9999,0,0,0,0,0
65,0.500269,10000,0,0,0,0,10000,0,0,0,0,0
66,0.500292,10000,0,0,0,0,10000,0,0,0,0,0
67,0.500326,10000,0,0,0,0,10000,0,0,0,0,0
68,0.500345,10000,0,0,0,0,10000,0,0,0,0,0
