update,mean_coopval,count,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,0.5,962,0,0,0,0,962,0,0,0,0,0
1,0.499992,1081,0,0,0,0,1081,0,0,0,0,0
2,0.499997,1282,0,0,0,0,1282,0,0,0,0,0
3,0.500028,1561,0,0,0,0,1561,0,0,0,0,0
4,0.500023,1900,0,0,0,0,1900,0,0,0,0,0
5,0.499996,2270,0,0,0,0,2270,0,0,0,0,0
6,0.499982,2734,0,0,0,0,2734,0,0,0,0,0
7,0.499974,3218,0,0,0,0,3218,0,0,0,0,0
8,0.500001,3724,0,0,0,0,3724,0,0,0,0,0
9,0.500008,4224,0,0,0,0,4224,0,0,0,0,0
10,0.500015,4742,0,0,0,0,4742,0,0,0,0,0
11,0.50001,5221,0,0,0,0,5221,0,0,0,0,0
12,0.499966,5689,0,0,0,0,5689,0,0,0,0,0
13,0.499966,6132,0,0,0,0,6132,0,0,0,0,0
14,0.499995,6575,0,0,0,0,6575,0,0,0,0,0
15,0.500001,6993,0,0,0,0,6993,0,0,0,0,0
16,0.500006,7413,0,0,0,0,7413,0,0,0,0,0
17,0.500026,7779,0,0,0,0,7779,0,0,0,0,0
18,0.499982,8113,0,0,0,0,8113,0,0,0,0,0
19,0.499992,8455,0,0,0,0,8455,0,0,0,0,0
20,0.499939,8727,0,0,0,0,8727,0,0,0,0,0
21,0.499979,8952,0,0,0,0,8952,0,0,0,0,0
22,0.499951,9153,0,0,0,0,9153,0,0,0,0,0
23,0.499953,9317,0,0,0,0,9317,0,0,0,0,0
24,0.499944,9468,0,0,0,0,9468,0,0,0,0,0
25,0.49996,9586,0,0,0,0,9586,0,0,0,0,0
26,0.499981,9678,0,0,0,0,9678,0,0,0,0,0
27,0.499956,9749,0,0,0,0,9749,0,0,0,0,0
28,0.49995,9805,0,0,0,0,9805,0,0,0,0,0
29,0.499954,9858,0,0,0,0,9858,0,0,0,0,0
30,0.500017,9901,0,0,0,0,9901,0,0,0,0,0
31,0.499988,9922,0,0,0,0,9922,0,0,0,0,0
32,0.499968,9948,0,0,0,0,9948,0,0,0,0,0
33,0.499988,9960,0,0,0,0,9960,0,0,0,0,0
34,0.499991,9967,0,0,0,0,9967,0,0,0,0,0
35,0.499938,9972,0,0,0,0,9972,0,0,0,0,0
36,0.500006,9977,0,0,0,0,9977,0,0,0,0,0
37,0.500016,9982,0,0,0,0,9982,0,0,0,0,0
38,0.500026,9988,0,0,0,0,9988,0,0,0,0,0
39,0.49999,9989,0,0,0,0,9989,0,0,0,0,0
40,0.500025,9991,0,0,0,0,9991,0,0,0,0,0
41,0.5,9995,0,0,0,0,9995,0,0,0,0,0
42,0.499926,9998,0,0,0,0,9998,0,0,0,0,0
43,0.499993,9998,0,0,0,0,9998,0,0,0,0,0
44,0.500051,9998,0,0,0,0,9998,0,0,0,0,0
45,0.500169,9999,0,0,0,0,9999,0,0,0,0,0
46,0.50022,9999,0,0,0,0,9999,0,0,0,0,0
47,0.50014,9999,0,0,0,0,9999,0,0,0,0,0
48,0.500189,10000,0,0,0,0,10000,0,0,0,0,0
49,0.500236,10000,0,0,0,0,10000,0,0,0,0,0
50,0.500343,10000,0,0,0,0,10000,0,0,0,0,0
51,0.50036,10000,0,0,0,0,10000,0,0,0,0,0
52,0.500395,10000,0,0,0,0,10000,0,0,0,0,0
53,0.500454,10000,0,0,0,0,10000,0,0,0,0,0
54,0.500464,10000,0,0,0,0,10000,0,0,0,0,0
55,0.500408,10000,0,0,0,0,10000,0,0,0,0,0
56,0.500282,10000,0,0,0,0,10000,0,0,0,0,0
57,0.500169,10000,0,0,0,0,10000,0,0,0,0,0
58,0.500077,10000,0,0,0,0,10000,0,0,0,0,0
59,0.499996,10000,0,0,0,0,10000,0,0,0,0,0
60,0.499984,10000,0,0,0,0,10000,0,0,0,0,0
61,0.500041,10000,0,0,0,0,10000,0,0,0,0,0
62,0.499945,10000,0,0,0,0,10000,0,0,0,0,0
63,0.499924,10000,0,0,0,0,10000,0,0,0,0,0
64,0.500026,10000,0,0,0,0,10000,0,0,0,0,0
65,0.500014,10000,0,0,0,0,10000,0,0,0,0,0
66,0.499946,10000,0,0,0,0,10000,0,0,0,0,0
67,0.499988,10000,0,0,0,0,10000,0,0,0,0,0
68,0.499954,10000,0,0,0,0,10000,0,0,0,0,0
69,0.499888,10000,0,0,0,0,10000,0,0,0,0,0
70,0.499982,10000,0,0,0,0,10000,0,0,0,0,0
71,0.499996,10000,0,0,0,0,10000,0,0,0,0,0
72,0.499977,10000,0,0,0,0,10000,0,0,0,0,0
73,0.499939,10000,0,0,0,0,10000,0,0,0,0,0
74,0.499928,10000,0,0,0,0,10000,0,0,0,0,0
75,0.499918,10000,0,0,0,0,10000,0,0,0,0,0
76,0.499985,10000,0,0,0,0,10000,0,0,0,0,0
77,0.500016,10000,0,0,0,0,10000,0,0,0,0,0
78,0.500029,10000,0,0,0,0,10000,0,0,0,0,0
79,0.50014,10000,0,0,0,0,10000,0,0,0,0,0
80,0.500142,10000,0,0,0,0,10000,0,0,0,0,0
81,0.500139,10000,0,0,0,0,10000,0,0,0,0,0
82,0.500181,10000,0,0,0,0,10000,0,0,0,0,0
83,0.500143,10000,0,0,0,0,10000,0,0,0,0,0
84,0.500094,10000,0,0,0,0,10000,0,0,0,0,0
85,0.500078,10000,0,0,0,0,10000,0,0,0,0,0
86,0.500082,10000,0,0,0,0,9999,1,0,0,0,0
87,0.49999,10000,0,0,0,0,10000,0,0,0,0,0
88,0.500078,10000,0,0,0,0,10000,0,0,0,0,0
89,0.500073,10000,0,0,0,0,10000,0,0,0,0,0
90,0.5001,10000,0,0,0,0,10000,0,0,0,0,0
91,0.500116,10000,0,0,0,0,10000,0,0,0,0,0
92,0.500174,10000,0,0,0,0,10000,0,0,0,0,0
93,0.500326,10000,0,0,0,0,10000,0,0,0,0,0
94,0.500302,10000,0,0,0,0,10000,0,0,0,0,0
95,0.500244,10000,0,0,0,0,10000,0,0,0,0,0
96,0.500319,10000,0,0,0,0,10000,0,0,0,0,0
97,0.500436,10000,0,0,0,0,10000,0,0,0,0,0
98,0.500532,10000,0,0,0,0,10000,0,0,0,0,0
99,0.50055,10000,0,0,0,0,10000,0,0,0,0,0
100,0.500535,10000,0,0,0,0,9999,1,0,0,0,0
101,0.500481,10000,0,0,0,0,10000,0,0,0,0,0
102,0.500589,10000,0,0,0,0,10000,0,0,0,0,0
103,0.500516,10000,0,0,0,0,10000,0,0,0,0,0
104,0.500464,10000,0,0,0,0,10000,0,0,0,0,0
