update,mean_coopval,count,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,0.5,958,0,0,0,0,958,0,0,0,0,0
1,0.500029,1039,0,0,0,0,1039,0,0,0,0,0
2,0.500037,1103,0,0,0,0,1103,0,0,0,0,0
3,0.500025,1189,0,0,0,0,1189,0,0,0,0,0
4,0.500023,1284,0,0,0,0,1284,0,0,0,0,0
5,0.500027,1381,0,0,0,0,1381,0,0,0,0,0
6,0.50001,1485,0,0,0,0,1485,0,0,0,0,0
7,0.50001,1621,0,0,0,0,1621,0,0,0,0,0
8,0.499988,1773,0,0,0,0,1773,0,0,0,0,0
9,0.500003,1904,0,0,0,0,1904,0,0,0,0,0
10,0.499968,2055,0,0,0,0,2055,0,0,0,0,0
11,0.499975,2222,0,0,0,0,2222,0,0,0,0,0
12,0.499957,2385,0,0,0,0,2385,0,0,0,0,0
13,0.499961,2553,0,0,0,0,2553,0,0,0,0,0
14,0.49994,2708,0,0,0,0,2708,0,0,0,0,0
15,0.499936,2879,0,0,0,0,2879,0,0,0,0,0
16,0.499948,3043,0,0,0,0,3043,0,0,0,0,0
17,0.499975,3233,0,0,0,0,3233,0,0,0,0,0
18,0.499973,3430,0,0,0,0,3430,0,0,0,0,0
19,0.499961,3631,0,0,0,0,3631,0,0,0,0,0
20,0.499982,3831,0,0,0,0,3831,0,0,0,0,0
21,0.49997,4017,0,0,0,0,4017,0,0,0,0,0
22,0.499964,4215,0,0,0,0,4215,0,0,0,0,0
23,0.499948,4423,0,0,0,0,4423,0,0,0,0,0
24,0.499971,4646,0,0,0,0,4646,0,0,0,0,0
25,0.50001,4867,0,0,0,0,4867,0,0,0,0,0
26,0.50002,5054,0,0,0,0,5054,0,0,0,0,0
27,0.499975,5236,0,0,0,0,5236,0,0,0,0,0
28,0.499923,5438,0,0,0,0,5438,0,0,0,0,0
29,0.499885,5662,0,0,0,0,5662,0,0,0,0,0
30,0.499887,5862,0,0,0,0,5862,0,0,0,0,0
31,0.499849,6090,0,0,0,0,6090,0,0,0,0,0
32,0.499861,6281,0,0,0,0,6281,0,0,0,0,0
33,0.499877,6477,0,0,0,0,6477,0,0,0,0,0
34,0.49985,6676,0,0,0,0,6676,0,0,0,0,0
35,0.499831,6862,0,0,0,0,6862,0,0,0,0,0
36,0.499813,7063,0,0,0,0,7063,0,0,0,0,0
37,0.499809,7252,0,0,0,0,7252,0,0,0,0,0
38,0.499834,7407,0,0,0,0,7407,0,0,0,0,0
39,0.499833,7569,0,0,0,0,7569,0,0,0,0,0
40,0.49987,7746,0,0,0,0,7746,0,0,0,0,0
41,0.499845,7891,0,0,0,0,7891,0,0,0,0,0
42,0.499843,8040,0,0,0,0,8040,0,0,0,0,0
43,0.499851,8179,0,0,0,0,8179,0,0,0,0,0
44,0.499883,8311,0,0,0,0,8311,0,0,0,0,0
45,0.499873,8422,0,0,0,0,8422,0,0,0,0,0
46,0.499876,8533,0,0,0,0,8533,0,0,0,0,0
47,0.499865,8645,0,0,0,0,8645,0,0,0,0,0
48,0.499837,8755,0,0,0,0,8755,0,0,0,0,0
49,0.49981,8838,0,0,0,0,8838,0,0,0,0,0
50,0.499814,8924,0,0,0,0,8924,0,0,0,0,0
51,0.499771,9031,0,0,0,0,9031,0,0,0,0,0
52,0.499806,9105,0,0,0,0,9105,0,0,0,0,0
53,0.499775,9184,0,0,0,0,9184,0,0,0,0,0
54,0.499793,9245,0,0,0,0,9245,0,0,0,0,0
55,0.499801,9305,0,0,0,0,9305,0,0,0,0,0
56,0.499826,9361,0,0,0,0,9361,0,0,0,0,0
57,0.499829,9409,0,0,0,0,9409,0,0,0,0,0
58,0.499774,9456,0,0,0,0,9456,0,0,0,0,0
59,0.499771,9517,0,0,0,0,9517,0,0,0,0,0
60,0.499775,9559,0,0,0,0,9559,0,0,0,0,0
61,0.499757,9601,0,0,0,0,9601,0,0,0,0,0
62,0.499756,9644,0,0,0,0,9644,0,0,0,0,0
63,0.49976,9683,0,0,0,0,9683,0,0,0,0,0
64,0.499735,9716,0,0,0,0,9716,0,0,0,0,0
65,0.49975,9754,0,0,0,0,9754,0,0,0,0,0
66,0.499779,9792,0,0,0,0,9792,0,0,0,0,0
67,0.49979,9812,0,0,0,0,9812,0,0,0,0,0
68,0.499771,9830,0,0,0,0,9830,0,0,0,0,0
69,0.499773,9852,0,0,0,0,9852,0,0,0,0,0
70,0.499752,9869,0,0,0,0,9869,0,0,0,0,0
71,0.499695,9886,0,0,0,0,9886,0,0,0,0,0
72,0.499753,9897,0,0,0,0,9897,0,0,0,0,0
73,0.499762,9909,0,0,0,0,9909,0,0,0,0,0
74,0.499751,9925,0,0,0,0,9925,0,0,0,0,0
75,0.499725,9935,0,0,0,0,9935,0,0,0,0,0
76,0.499693,9941,0,0,0,0,9941,0,0,0,0,0
77,0.499728,9949,0,0,0,0,9949,0,0,0,0,0
78,0.499691,9955,0,0,0,0,9955,0,0,0,0,0
79,0.499715,9964,0,0,0,0,9964,0,0,0,0,0
80,0.49965,9969,0,0,0,0,9969,0,0,0,0,0
81,0.499663,9973,0,0,0,0,9973,0,0,0,0,0
82,0.499622,9974,0,0,0,0,9974,0,0,0,0,0
83,0.499604,9975,0,0,0,0,9975,0,0,0,0,0
84,0.49961,9981,0,0,0,0,9981,0,0,0,0,0
85,0.499607,9982,0,0,0,0,9982,0,0,0,0,0
86,0.499665,9982,0,0,0,0,9982,0,0,0,0,0
87,0.499637,9983,0,0,0,0,9983,0,0,0,0,0
88,0.499626,9986,0,0,0,0,9986,0,0,0,0,0
89,0.499643,9988,0,0,0,0,9988,0,0,0,0,0
